資料集識別碼,資料集名稱,服務分類,檔案格式,資料下載網址,編碼格式,資料集類型,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註
6319,教育學學術名詞,公共資訊,CSV,http://wd.naer.edu.tw/open/edu.csv,UTF-8,a01,本資料集主要提供教育學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2013/09/25 00:00","2016/06/21 00:28","授權說明網址: http://data.gov.tw/license"
14549,國家教育研究院-人體解剖學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/282307599.csv,UTF-8,a01,主要提供人體解剖學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/05 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14708,國家教育研究院-力學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/637655080.csv,UTF-8,a01,主要提供力學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/06 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14709,國家教育研究院-土木工程學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/808810033.csv,UTF-8,a01,主要提供土木工程英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/05 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14837,國家教育研究院-土壤學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/106802443.csv,UTF-8,a01,土壤學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14838,國家教育研究院-工程圖學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/181136957.csv,UTF-8,a01,工程圖學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14839,國家教育研究院-工業工程學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/209086902.csv,UTF-8,a01,工業工程英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14840,國家教育研究院-內分泌學學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14840.csv,UTF-8,a01,內分泌學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:54","授權說明網址: http://data.gov.tw/license"
14841,國家教育研究院-化學工程學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/139181737.csv,UTF-8,a01,化學工程英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
14842,國家教育研究院-化學名詞-不飽和雜環化合物學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14842.csv,UTF-8,a01,化學名詞-不飽和雜環化合物英中對照名詞等資訊。,"英文名稱,中文名稱",國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:54","授權說明網址: http://data.gov.tw/license"
14843,國家教育研究院-化學名詞-化學元素,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14843.csv,UTF-8,a01,化學名詞-化學元素英中對照名詞等資訊。,英文名稱;中文名稱;原子序;符號;音;讀,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:57","授權說明網址: http://data.gov.tw/license"
14844,國家教育研究院-化學名詞-化學相關科學家,公共資訊,XML,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14844.xml,UTF-8,a01,化學名詞-化學相關科學家等資訊。,DocumentProperties,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/25 10:51","授權說明網址: http://data.gov.tw/license"
14845,國家教育研究院-化學名詞-化學術語學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/14845.csv,UTF-8,a01,化學名詞-化學術語英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2019/07/17 19:53","授權說明網址: http://data.gov.tw/license"
14846,國家教育研究院-化學名詞-有機化合物學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/154968993.csv,UTF-8,a01,化學名詞-有機化合物英中對照名詞等資訊。,英文名稱;中文名稱;化學式,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/07 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15158,國家教育研究院-化學名詞-有機化合物之基學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/151069532.csv,UTF-8,a01,化學名詞-有機化合物之基英中對照名詞等資訊。,英文名稱;中文名稱;化學式,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15159,國家教育研究院-化學名詞-兩岸中小學教科書學術名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/15159.csv,UTF-8,a01,化學名詞-兩岸中小學教科書英中對照名詞等資訊。,英文名稱;中文名稱;大陸譯名,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2019/07/25 10:58","授權說明網址: http://data.gov.tw/license"
15160,國家教育研究院-化學名詞-兩岸化學名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/923043276.csv,UTF-8,a01,化學名詞-兩岸化學英中對照名詞等資訊。,英文名稱;中文名稱;大陸譯名,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
15161,國家教育研究院-化學名詞-高中以下化學名詞,公共資訊,CSV,http://www.naer.edu.tw/ezfiles/0/1000/img/80/109704194.csv,UTF-8,a01,化學名詞-高中以下化學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院,每年,政府資料開放授權條款-第1版,,免費,詹先生,0277407806,"2015/05/08 00:00","2016/05/24 00:18","授權說明網址: http://data.gov.tw/license"
